review_id,order_id,date,product,sku,region,rating,review_text
500001,100842,2026-03-19,Cork Sandal,CRK-004,North,5,"Absolutely love these, will buy another pair!"
500002,100801,2026-02-07,Recycled PET Runner,RPR-003,North,5,"Worth every rupee, best purchase this year."
500003,100322,2026-03-15,Hemp Espadrille,HMP-005,West,3,"Very comfortable, perfect for long walks."
500004,100227,2026-07-26,Hemp Espadrille,HMP-005,South,3,Order tracking showed no movement for over a week.
500005,100265,2026-04-11,Merino Wool Loafer,MWL-001,East,4,"Exactly as described, fast shipping too."
500006,101099,2026-04-15,Merino Wool Loafer,MWL-001,North,4,"Exactly as described, fast shipping too."
500007,100857,2026-03-24,Recycled PET Runner,RPR-003,South,5,"Absolutely love these, will buy another pair!"
500008,100980,2026-06-13,Hemp Espadrille,HMP-005,North,5,"Great everyday shoe, gets compliments all the time."
500009,100141,2026-04-26,Cork Sandal,CRK-004,North,3,"Package was delayed multiple times, courier kept rescheduling."
500010,100797,2026-06-02,Recycled PET Runner,RPR-003,West,5,"Comfortable right out of the box, no break-in needed."
500011,100423,2026-07-31,Recycled PET Runner,RPR-003,East,2,"Delivery took almost 3 weeks, way longer than promised."
500012,100267,2026-07-31,Bamboo Fiber Sneaker,BFS-002,West,4,Sole started wearing out after a couple months.
500013,100422,2026-06-06,Canvas Slip-On,CNV-006,South,5,"Great quality, super comfortable for daily wear."
500014,100635,2026-03-14,Merino Wool Loafer,MWL-001,North,3,"Very comfortable, perfect for long walks."
500015,100886,2026-05-19,Merino Wool Loafer,MWL-001,East,5,"Loved the material, feels premium and sustainable."
500016,101362,2026-05-12,Cork Sandal,CRK-004,East,5,"Great quality, super comfortable for daily wear."
500017,100973,2026-07-20,Cork Sandal,CRK-004,West,4,Stitching came a little loose after light use.
500018,100326,2026-05-03,Cork Sandal,CRK-004,West,5,"Absolutely love these, will buy another pair!"
500019,101237,2026-05-09,Cork Sandal,CRK-004,East,3,Color faded slightly after a few washes.
500020,101178,2026-05-08,Recycled PET Runner,RPR-003,South,5,"Great quality, super comfortable for daily wear."
500021,100636,2026-02-26,Hemp Espadrille,HMP-005,East,4,"Worth every rupee, best purchase this year."
500022,101204,2026-07-11,Cork Sandal,CRK-004,East,4,Stitching came a little loose after light use.
500023,100416,2026-07-01,Merino Wool Loafer,MWL-001,South,5,"Great everyday shoe, gets compliments all the time."
500024,101030,2026-03-23,Canvas Slip-On,CNV-006,West,5,Perfect fit and very breathable material.
500025,100940,2026-05-02,Hemp Espadrille,HMP-005,North,4,"Loved the material, feels premium and sustainable."
500026,100565,2026-05-18,Merino Wool Loafer,MWL-001,North,4,"Great everyday shoe, gets compliments all the time."
500027,100414,2026-03-11,Cork Sandal,CRK-004,West,4,"Great quality, super comfortable for daily wear."
500028,100016,2026-04-12,Cork Sandal,CRK-004,South,4,"Absolutely love these, will buy another pair!"
500029,100293,2026-06-28,Recycled PET Runner,RPR-003,South,3,Stitching came a little loose after light use.
500030,100913,2026-07-31,Bamboo Fiber Sneaker,BFS-002,South,3,Color faded slightly after a few washes.
500031,100132,2026-02-28,Recycled PET Runner,RPR-003,South,5,"Great quality, super comfortable for daily wear."
500032,100818,2026-06-14,Merino Wool Loafer,MWL-001,East,3,Stitching came a little loose after light use.
500033,101239,2026-03-27,Merino Wool Loafer,MWL-001,North,5,"Loved the material, feels premium and sustainable."
500034,100506,2026-04-01,Merino Wool Loafer,MWL-001,West,4,Color faded slightly after a few washes.
500035,101077,2026-03-19,Canvas Slip-On,CNV-006,South,5,"Worth every rupee, best purchase this year."
500036,100674,2026-07-04,Canvas Slip-On,CNV-006,East,4,"Very comfortable, perfect for long walks."
500037,101166,2026-05-19,Recycled PET Runner,RPR-003,South,3,"Very comfortable, perfect for long walks."
500038,101006,2026-03-22,Hemp Espadrille,HMP-005,West,4,"Loved the material, feels premium and sustainable."
500039,100943,2026-04-21,Canvas Slip-On,CNV-006,North,5,"Absolutely love these, will buy another pair!"
500040,100948,2026-07-17,Canvas Slip-On,CNV-006,West,4,"Great everyday shoe, gets compliments all the time."
500041,101180,2026-04-28,Hemp Espadrille,HMP-005,West,5,"A bit pricey for what you get, but decent quality."
